trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.2, 'e': 0.945}",25,0,-149.16228464477805,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
56,False,"{'a': 0.2, 'e': 0.944}",25,0,-103.79054346705061,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
57,False,"{'a': 0.2, 'e': 0.943}",20,0,-85.60179374591101,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
58,False,"{'a': 0.2, 'e': 0.942}",25,0,-88.48916459076578,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
59,False,"{'a': 0.2, 'e': 0.941}",25,0,-63.22276899818269,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.2, 'e': 0.94}",25,0,-120.84396400680805,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
61,False,"{'a': 0.2, 'e': 0.939}",20,12,-11.542451911272918,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.2, 'e': 0.938}",25,0,-166.08249678067304,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
63,False,"{'a': 0.2, 'e': 0.9369999999999999}",20,0,-84.11118758025633,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.2, 'e': 0.9359999999999999}",20,3,-144.21898243040914,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 3}",1
65,False,"{'a': 0.2, 'e': 0.9349999999999999}",20,0,-76.3271998343624,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.2, 'e': 0.9339999999999999}",20,0,-172.4614322536765,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
67,False,"{'a': 0.2, 'e': 0.9329999999999999}",20,0,-88.46314810275308,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.2, 'e': 0.9319999999999999}",20,0,-33.289896686967694,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
69,False,"{'a': 0.2, 'e': 0.9309999999999999}",25,0,-114.28863151815236,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
70,False,"{'a': 0.2, 'e': 0.9299999999999999}",20,0,-78.22638854456275,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
71,False,"{'a': 0.2, 'e': 0.9289999999999999}",25,0,-174.4544039364572,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
72,False,"{'a': 0.2, 'e': 0.9279999999999999}",30,0,-61.15056291755981,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
73,False,"{'a': 0.2, 'e': 0.9269999999999999}",20,0,-133.3402754230507,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
74,False,"{'a': 0.2, 'e': 0.9259999999999999}",20,0,-69.00716149960152,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.2, 'e': 0.9249999999999999}",30,0,-60.91327799614799,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
76,False,"{'a': 0.2, 'e': 0.9239999999999999}",20,0,-90.38151842177167,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
77,False,"{'a': 0.2, 'e': 0.9229999999999999}",20,0,-32.05247302065255,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
78,False,"{'a': 0.2, 'e': 0.9219999999999999}",35,0,-223.56234291959677,"{0: 20, 1: 3, 2: 8, 3: 0, 4: 4}",0
79,False,"{'a': 0.2, 'e': 0.9209999999999999}",20,0,-28.723562888648424,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
80,False,"{'a': 0.2, 'e': 0.9199999999999999}",20,0,-109.71759133366908,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
81,False,"{'a': 0.2, 'e': 0.9189999999999999}",20,0,-123.55062651166305,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
82,False,"{'a': 0.2, 'e': 0.9179999999999999}",20,0,-68.01994018147492,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.2, 'e': 0.9169999999999999}",30,0,-78.72862227343172,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
84,False,"{'a': 0.2, 'e': 0.9159999999999999}",25,0,-255.09707080123428,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 5}",0
85,False,"{'a': 0.2, 'e': 0.9149999999999999}",25,0,-152.454033017953,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
86,False,"{'a': 0.2, 'e': 0.9139999999999999}",20,0,-72.56624303348953,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
87,False,"{'a': 0.2, 'e': 0.9129999999999999}",30,0,-147.43586810312598,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
88,False,"{'a': 0.2, 'e': 0.9119999999999999}",20,0,-138.14526821339663,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
89,False,"{'a': 0.2, 'e': 0.9109999999999999}",30,0,-79.6388897660512,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
90,False,"{'a': 0.2, 'e': 0.9099999999999999}",20,0,-42.99404920965164,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
91,False,"{'a': 0.2, 'e': 0.9089999999999999}",20,0,-22.686967526604548,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
92,False,"{'a': 0.2, 'e': 0.9079999999999999}",25,0,-32.137549630984935,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.2, 'e': 0.9069999999999999}",20,0,-38.58701839672671,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
94,False,"{'a': 0.2, 'e': 0.9059999999999999}",20,0,-20.393987497323597,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
95,False,"{'a': 0.2, 'e': 0.9049999999999999}",20,0,-77.81726632640728,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
96,False,"{'a': 0.2, 'e': 0.9039999999999999}",25,1,-104.43076439027072,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 2}",1
