trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.5, 'e': 0.9239999999999999}",20,0,-86.84119896609656,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.9229999999999999}",20,0,-43.71976891442886,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.9219999999999999}",25,0,-122.84561543674009,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.9209999999999999}",35,0,-183.66088526123514,"{0: 23, 1: 2, 2: 6, 3: 1, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,0,-131.4394673693872,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9189999999999999}",20,0,-102.84663661264261,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9179999999999999}",20,0,-67.88580004787391,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.9169999999999999}",25,0,-107.91167444956942,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.9159999999999999}",20,0,-75.90543809005051,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.9149999999999999}",30,0,-88.1106816598921,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.9139999999999999}",20,0,-156.59124856860586,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.9129999999999999}",35,0,-134.44680321154436,"{0: 25, 1: 1, 2: 6, 3: 1, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.9119999999999999}",35,10,-125.11072133996592,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",1
89,False,"{'a': 0.5, 'e': 0.9109999999999999}",20,0,-99.20371440034941,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-67.74672074313717,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.9089999999999999}",20,0,-57.915954227940716,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.9079999999999999}",20,0,-43.04050314990361,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.9069999999999999}",20,0,-76.18508034898909,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.9059999999999999}",35,0,-170.9484401797567,"{0: 24, 1: 3, 2: 4, 3: 1, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-177.77636436516445,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.9039999999999999}",25,0,-90.0351064609538,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",1
97,False,"{'a': 0.5, 'e': 0.9029999999999999}",25,0,-79.79201195451344,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.9019999999999999}",20,0,-107.78899025651653,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.9009999999999999}",20,10,-10.39501441539467,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.8959999999999999}",30,0,-67.55768538740932,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.8909999999999999}",30,0,-145.196657185084,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.8859999999999999}",30,17,-81.7153135413087,"{0: 8, 1: 1, 2: 1, 3: 2, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.8809999999999999}",20,12,-19.864455139564747,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.8759999999999999}",30,0,-126.69076469179188,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.8709999999999999}",25,0,-63.58277676069017,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.8659999999999999}",20,0,-95.17136838185446,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.8609999999999999}",20,0,-73.98879138106334,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.8559999999999999}",25,0,-95.48942354757968,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.8509999999999999}",20,0,-69.52657423789165,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.8459999999999999}",20,0,-103.02172747334511,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.8409999999999999}",25,0,-134.47509973245803,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.8359999999999999}",30,0,-158.50365468230174,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
